year,ntl_mcu,nw_mcu,kivu_mcu,yearInit,ntlInit,mostrecent,leastrecent
2005,0.103,,,2000,0.06,0,1
2008,0.274,,,2000,0.06,0,0
2010,0.451,0.3826,0.3309,2000,0.06,0,0
2014,0.4749078,0.5629,0.3854,2000,0.06,1,0
