x,y
260.5,428.2
260.6,428.3
260.8,428.5
260.9,428.6
261,428.8
261.2,429.1
261.6,429.6
261.7,429.8
261.7,429.9
261.8,429.9
261.8,430
261.9,430
261.9,430.1
262.1,430.3
262.1,430.4
262.2,430.4
262.2,430.5
262.4,430.8
262.5,430.9
262.6,431
262.7,431.2
262.8,431.4
262.9,431.4
263.4,432.1
263.6,432.4
263.8,432.6
264.2,433.2
264.3,433.4
264.5,433.7
264.5,433.8
264.4,433.8
264.5,433.8
264.4,433.9
264.2,434.4
264.2,434.5
264.1,434.7
264,434.8
263.8,435.4
263.7,435.7
263.6,435.9
263.5,436
263.5,436.1
263.5,436.2
263.5,436.3
263.5,436.4
263.5,436.5
263.5,436.6
263.5,436.7
263.5,436.8
263.5,436.9
263.5,437
263.5,437.7
263.5,437.8
263.5,437.9
263.6,438.1
263.6,438.7
263.7,438.9
263.7,439.4
263.7,439.6
263.8,440.2
263.8,440.3
263.8,440.4
263.8,440.6
263.9,441.2
264,442.1
264,442.7
264,442.8
264,442.9
264,443
264,443.1
264,443.2
263.9,443.6
263.8,443.9
263.8,444.1
263.7,444.5
263.7,444.7
263.6,445.2
263.4,446
263.4,446.1
263.3,446.4
263.3,446.7
263.2,446.8
263.2,447.2
263.1,447.4
263.1,447.6
263.1,447.7
263,447.8
263,447.9
262.9,448.5
262.8,449.2
262.8,449.4
262.7,449.9
262.7,450
262.8,450.1
262.9,450.1
262.9,450.2
262.9,450.3
262.9,450.4
263,450.5
263,450.6
263.1,450.7
263.1,450.8
263.2,450.8
263.2,450.9
263.2,451
263.3,451
263.3,451.1
263.4,451.2
263.5,451.3
263.5,451.4
263.6,451.5
263.7,451.7
263.8,451.9
263.8,452
264.1,452.3
264.1,452.4
264.2,452.6
264.3,452.7
264.3,452.8
264.4,452.8
264.7,453.4
264.9,453.7
265.2,454.3
265.3,454.3
265.4,454.6
265.5,454.6
265.6,454.9
265.7,455
265.8,455.3
265.9,455.3
265.9,455.4
266,455.5
266.1,455.5
266.1,455.6
266.2,455.6
266.3,455.6
266.4,455.6
266.5,455.6
266.6,455.7
266.6,455.8
266.7,455.8
266.7,455.9
266.7,456
266.7,456.1
266.7,456.2
266.7,456.3
266.7,456.4
266.8,456.4
266.9,456.4
266.9,456.5
267,456.5
267,456.6
267.1,456.6
267.1,456.7
267.2,456.7
267.2,456.8
267.3,456.9
267.3,457
267.4,457
267.4,457.1
267.4,457.2
267.5,457.2
267.6,457.3
267.6,457.4
267.7,457.5
267.8,457.5
267.8,457.6
267.9,457.6
267.9,457.7
267.9,457.8
267.9,457.9
267.9,458
268,458
267.9,458.1
267.9,458.2
267.9,458.3
267.8,458.4
267.7,458.4
267.7,458.5
267.7,458.6
267.7,458.7
267.7,458.8
267.6,458.8
267.6,458.9
267.5,458.9
267.5,459
267.4,459
267.4,458.9
267.3,458.9
267.2,458.9
267.2,459
267.2,459.1
267.2,459.3
267.2,459.4
267.2,459.5
267.1,459.5
267.1,459.6
267,459.7
267,459.8
266.9,459.8
266.9,459.9
266.8,460
266.8,460.1
266.7,460.1
266.7,460.2
266.6,460.3
266.5,460.4
266.5,460.5
266.5,460.6
266.6,460.6
266.6,460.7
266.7,460.8
266.6,460.8
266.6,460.9
266.6,461
266.6,461.1
266.6,461.2
266.6,461.3
266.6,461.4
266.5,461.4
266.4,461.4
266.3,461.5
266.2,461.6
266.1,461.6
266.1,461.7
266.2,461.7
266.1,461.7
266.1,461.8
266,461.8
266,461.9
266.1,461.9
266,462
266,462.1
265.9,462.1
265.9,462.2
265.9,462.3
265.8,462.4
265.8,462.5
265.8,462.6
265.8,462.7
265.8,462.8
265.8,462.9
265.8,463
265.7,463
265.7,463.1
265.6,463.2
265.6,463.3
265.6,463.4
265.7,463.4
265.7,463.5
265.7,463.6
265.6,463.7
265.7,463.8
265.7,463.9
265.6,463.9
265.5,464
265.5,464.1
265.4,464.1
265.3,464.2
265.3,464.3
265.2,464.3
265.2,464.4
265.2,464.5
265.2,464.6
265.1,464.7
265.1,464.8
265.1,464.9
265.1,465
265.1,465.1
265,465.1
264.9,465.1
264.9,465.2
264.9,465.3
264.8,465.3
264.8,465.4
264.8,465.5
264.8,465.6
264.8,465.7
264.8,465.8
264.8,465.9
264.8,466
264.9,466
264.9,466.1
264.9,466.2
264.9,466.3
264.9,466.4
264.9,466.5
264.8,466.5
264.7,466.5
